code_reg;Nom_region;num_reg
1;GUADELOUPE;1
7;SAINT-BARTHELEMY;2
8;SAINT-MARTIN;3
2;MARTINIQUE;4
3;GUYANE;5
4;LA REUNION;6
6;MAYOTTE;7
44;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;8
75;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;9
84;AUVERGNE-RHONE-ALPES;10
28;NORMANDIE;11
27;BOURGOGNE-FRANCHE-COMTE;12
53;BRETAGNE;13
24;CENTRE-VAL DE LOIRE;14
94;CORSE;15
11;ILE-DE-FRANCE;16
76;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;17
32;NORD-PAS-DE-CALAIS-PICARDIE;18
52;PAYS-DE-LA-LOIRE;19
93;PROVENCE-ALPES-COTE-D'AZUR;20
